Year,AwayTeam,YearTeamIDAway,HomeTeam,YearTeamIDHome,Date,GameID,Division,GameAvgTicketPrice,SeasonAvgAway,SeasonAvgHome
2014,SeattleSeahawks,2014SeattleSeahawks,ArizonaCardinals,2014ArizonaCardinals,12/21/2014,9037792,NFCWest, $184 , $291 , $109 
2014,SanFrancisco49ers,2014SanFrancisco49ers,ArizonaCardinals,2014ArizonaCardinals,9/21/2014,9037763,NFCWest, $139 , $221 , $109 
2014,StLouisRams,2014StLouisRams,ArizonaCardinals,2014ArizonaCardinals,11/9/2014,9037777,NFCWest, $76 , $48 , $109 
2014,NewOrleansSaints,2014NewOrleansSaints,AtlantaFalcons,2014AtlantaFalcons,9/7/2014,9037955,NFCSouth, $158 , $198 , $99 
2014,CarolinaPanthers,2014CarolinaPanthers,AtlantaFalcons,2014AtlantaFalcons,12/28/2014,9037967,NFCSouth, $80 , $107 , $99 
2014,TampaBayBuccaneers,2014TampaBayBuccaneers,AtlantaFalcons,2014AtlantaFalcons,9/18/2014,9037957,NFCSouth, $51 , $85 , $99 
2014,ArizonaCardinals,2014ArizonaCardinals,AtlantaFalcons,2014AtlantaFalcons,11/30/2014,9037965,NFCSouth, $44 , $109 , $99 
2014,PittsburghSteelers,2014PittsburghSteelers,BaltimoreRavens,2014BaltimoreRavens,9/11/2014,9037835,AFCNorth, $199 , $166 , $140 
2014,ClevelandBrowns,2014ClevelandBrowns,BaltimoreRavens,2014BaltimoreRavens,12/28/2014,9037845,AFCNorth, $137 , $81 , $140 
2014,CincinnatiBengals,2014CincinnatiBengals,BaltimoreRavens,2014BaltimoreRavens,9/7/2014,9037833,AFCNorth, $135 , $80 , $140 
2014,NewEnglandPatriots,2014NewEnglandPatriots,BuffaloBills,2014BuffaloBills,10/12/2014,9037803,AFCEast, $127 , $257 , $79 
2014,MiamiDolphins,2014MiamiDolphins,BuffaloBills,2014BuffaloBills,9/14/2014,9037796,AFCEast, $123 , $90 , $79 
2014,NewYorkJets,2014NewYorkJets,BuffaloBills,2014BuffaloBills,11/23/2014,9037809,AFCEast, $67 , $96 , $79 
2014,NewOrleansSaints,2014NewOrleansSaints,CarolinaPanthers,2014CarolinaPanthers,10/30/2014,9037827,NFCSouth, $108 , $198 , $107 
2014,AtlantaFalcons,2014AtlantaFalcons,CarolinaPanthers,2014CarolinaPanthers,11/16/2014,9037829,NFCSouth, $99 , $99 , $107 
2014,TampaBayBuccaneers,2014TampaBayBuccaneers,CarolinaPanthers,2014CarolinaPanthers,12/14/2014,9037831,NFCSouth, $48 , $85 , $107 
2014,GreenBayPackers,2014GreenBayPackers,ChicagoBears,2014ChicagoBears,9/28/2014,9037834,NFCNorth, $423 , $209 , $236 
2014,MinnesotaVikings,2014MinnesotaVikings,ChicagoBears,2014ChicagoBears,11/16/2014,9037840,NFCNorth, $218 , $71 , $236 
2014,DetroitLions,2014DetroitLions,ChicagoBears,2014ChicagoBears,12/21/2014,9037852,NFCNorth, $153 , $100 , $236 
2014,ClevelandBrowns,2014ClevelandBrowns,CincinnatiBengals,2014CincinnatiBengals,11/6/2014,9037858,AFCNorth, $102 , $81 , $80 
2014,PittsburghSteelers,2014PittsburghSteelers,CincinnatiBengals,2014CincinnatiBengals,12/7/2014,9037859,AFCNorth, $89 , $166 , $80 
2014,BaltimoreRavens,2014BaltimoreRavens,CincinnatiBengals,2014CincinnatiBengals,10/26/2014,9037854,AFCNorth, $83 , $140 , $80 
2014,PittsburghSteelers,2014PittsburghSteelers,ClevelandBrowns,2014ClevelandBrowns,10/12/2014,9037890,AFCNorth, $148 , $166 , $81 
2014,BaltimoreRavens,2014BaltimoreRavens,ClevelandBrowns,2014ClevelandBrowns,9/21/2014,9037889,AFCNorth, $83 , $140 , $81 
2014,CincinnatiBengals,2014CincinnatiBengals,ClevelandBrowns,2014ClevelandBrowns,12/14/2014,9037903,AFCNorth, $81 , $80 , $81 
2014,PhiladelphiaEagles,2014PhiladelphiaEagles,DallasCowboys,2014DallasCowboys,11/27/2014,9037692,NFCEast, $219 , $179 , $187 
2014,NewYorkGiants,2014NewYorkGiants,DallasCowboys,2014DallasCowboys,10/19/2014,9037683,NFCEast, $167 , $187 , $187 
2014,WashingtonRedskins,2014WashingtonRedskins,DallasCowboys,2014DallasCowboys,10/27/2014,9037686,NFCEast, $153 , $76 , $187 
2014,SanDiegoChargers,2014SanDiegoChargers,DenverBroncos,2014DenverBroncos,10/23/2014,9037694,AFCWest, $241 , $132 , $257 
2014,KansasCityChiefs,2014KansasCityChiefs,DenverBroncos,2014DenverBroncos,9/14/2014,9037677,AFCWest, $218 , $67 , $257 
2014,OaklandRaiders,2014OaklandRaiders,DenverBroncos,2014DenverBroncos,12/28/2014,9037710,AFCWest, $213 , $77 , $257 
2014,ChicagoBears,2014ChicagoBears,DetroitLions,2014DetroitLions,11/27/2014,9037912,NFCNorth, $176 , $236 , $100 
2014,GreenBayPackers,2014GreenBayPackers,DetroitLions,2014DetroitLions,9/21/2014,9037902,NFCNorth, $106 , $209 , $100 
2014,MinnesotaVikings,2014MinnesotaVikings,DetroitLions,2014DetroitLions,12/14/2014,9037915,NFCNorth, $94 , $71 , $100 
2014,ChicagoBears,2014ChicagoBears,GreenBayPackers,2014GreenBayPackers,11/9/2014,9037875,NFCNorth, $265 , $236 , $209 
2014,DetroitLions,2014DetroitLions,GreenBayPackers,2014GreenBayPackers,12/28/2014,9037885,NFCNorth, $211 , $100 , $209 
2014,MinnesotaVikings,2014MinnesotaVikings,GreenBayPackers,2014GreenBayPackers,10/2/2014,9037870,NFCNorth, $206 , $71 , $209 
2014,IndianapolisColts,2014IndianapolisColts,HoustonTexans,2014HoustonTexans,10/9/2014,9037891,AFCSouth, $168 , $108 , $164 
2014,JacksonvilleJaguars,2014JacksonvilleJaguars,HoustonTexans,2014HoustonTexans,12/28/2014,9037907,AFCSouth, $130 , $86 , $164 
2014,TennesseeTitans,2014TennesseeTitans,HoustonTexans,2014HoustonTexans,11/30/2014,9037900,AFCSouth, $126 , $85 , $164 
2014,HoustonTexans,2014HoustonTexans,IndianapolisColts,2014IndianapolisColts,12/14/2014,9037871,AFCSouth, $104 , $164 , $108 
2014,JacksonvilleJaguars,2014JacksonvilleJaguars,IndianapolisColts,2014IndianapolisColts,11/23/2014,9037866,AFCSouth, $81 , $86 , $108 
2014,TennesseeTitans,2014TennesseeTitans,IndianapolisColts,2014IndianapolisColts,9/28/2014,9037848,AFCSouth, $71 , $85 , $108 
2014,IndianapolisColts,2014IndianapolisColts,JacksonvilleJaguars,2014JacksonvilleJaguars,9/21/2014,9037917,AFCSouth, $69 , $108 , $86 
2014,HoustonTexans,2014HoustonTexans,JacksonvilleJaguars,2014JacksonvilleJaguars,12/7/2014,9037933,AFCSouth, $47 , $164 , $86 
2014,TennesseeTitans,2014TennesseeTitans,JacksonvilleJaguars,2014JacksonvilleJaguars,12/18/2014,9037937,AFCSouth, $40 , $85 , $86 
2014,DenverBroncos,2014DenverBroncos,KansasCityChiefs,2014KansasCityChiefs,11/30/2014,9037752,AFCWest, $117 , $257 , $67 
2014,SanDiegoChargers,2014SanDiegoChargers,KansasCityChiefs,2014KansasCityChiefs,12/28/2014,9037757,AFCWest, $58 , $132 , $67 
2014,OaklandRaiders,2014OaklandRaiders,KansasCityChiefs,2014KansasCityChiefs,12/14/2014,9037754,AFCWest, $41 , $77 , $67 
2014,NewEnglandPatriots,2014NewEnglandPatriots,MiamiDolphins,2014MiamiDolphins,9/7/2014,9037759,AFCEast, $122 , $257 , $90 
2014,NewYorkJets,2014NewYorkJets,MiamiDolphins,2014MiamiDolphins,12/28/2014,9037779,AFCEast, $108 , $96 , $90 
2014,BuffaloBills,2014BuffaloBills,MiamiDolphins,2014MiamiDolphins,11/13/2014,9037769,AFCEast, $103 , $79 , $90 
2014,GreenBayPackers,2014GreenBayPackers,MinnesotaVikings,2014MinnesotaVikings,11/23/2014,9037942,NFCNorth, $138 , $209 , $71 
2014,DetroitLions,2014DetroitLions,MinnesotaVikings,2014MinnesotaVikings,10/12/2014,9037938,NFCNorth, $86 , $100 , $71 
2014,ChicagoBears,2014ChicagoBears,MinnesotaVikings,2014MinnesotaVikings,12/28/2014,9037947,NFCNorth, $67 , $236 , $71 
2014,MiamiDolphins,2014MiamiDolphins,NewEnglandPatriots,2014NewEnglandPatriots,12/14/2014,9037705,AFCEast, $209 , $90 , $257 
2014,BuffaloBills,2014BuffaloBills,NewEnglandPatriots,2014NewEnglandPatriots,12/28/2014,9037709,AFCEast, $208 , $79 , $257 
2014,NewYorkJets,2014NewYorkJets,NewEnglandPatriots,2014NewEnglandPatriots,10/16/2014,9037693,AFCEast, $201 , $96 , $257 
2014,AtlantaFalcons,2014AtlantaFalcons,NewOrleansSaints,2014NewOrleansSaints,12/21/2014,9037941,NFCSouth, $205 , $99 , $198 
2014,TampaBayBuccaneers,2014TampaBayBuccaneers,NewOrleansSaints,2014NewOrleansSaints,10/5/2014,9037914,NFCSouth, $135 , $85 , $198 
2014,DallasCowboys,2014DallasCowboys,NewYorkGiants,2014NewYorkGiants,11/23/2014,9037751,NFCEast, $228 , $187 , $187 
2014,PhiladelphiaEagles,2014PhiladelphiaEagles,NewYorkGiants,2014NewYorkGiants,12/28/2014,9037755,NFCEast, $178 , $179 , $187 
2014,WashingtonRedskins,2014WashingtonRedskins,NewYorkGiants,2014NewYorkGiants,12/14/2014,9037753,NFCEast, $121 , $76 , $187 
2014,NewEnglandPatriots,2014NewEnglandPatriots,NewYorkJets,2014NewYorkJets,12/21/2014,9037745,AFCEast, $106 , $257 , $96 
2014,BuffaloBills,2014BuffaloBills,NewYorkJets,2014NewYorkJets,10/26/2014,9037732,AFCEast, $91 , $79 , $96 
2014,MiamiDolphins,2014MiamiDolphins,NewYorkJets,2014NewYorkJets,12/1/2014,9037741,AFCEast, $55 , $90 , $96 
2014,DenverBroncos,2014DenverBroncos,OaklandRaiders,2014OaklandRaiders,11/9/2014,9037876,AFCWest, $85 , $257 , $77 
2014,SanDiegoChargers,2014SanDiegoChargers,OaklandRaiders,2014OaklandRaiders,10/12/2014,9037869,AFCWest, $71 , $132 , $77 
2014,KansasCityChiefs,2014KansasCityChiefs,OaklandRaiders,2014OaklandRaiders,11/20/2014,9037880,AFCWest, $40 , $67 , $77 
2014,DallasCowboys,2014DallasCowboys,PhiladelphiaEagles,2014PhiladelphiaEagles,12/14/2014,9037728,NFCEast, $236 , $187 , $179 
2014,NewYorkGiants,2014NewYorkGiants,PhiladelphiaEagles,2014PhiladelphiaEagles,10/12/2014,9037718,NFCEast, $213 , $187 , $179 
2014,WashingtonRedskins,2014WashingtonRedskins,PhiladelphiaEagles,2014PhiladelphiaEagles,9/21/2014,9037713,NFCEast, $205 , $76 , $179 
2014,BaltimoreRavens,2014BaltimoreRavens,PittsburghSteelers,2014PittsburghSteelers,11/2/2014,9037819,AFCNorth, $202 , $140 , $166 
2014,ClevelandBrowns,2014ClevelandBrowns,PittsburghSteelers,2014PittsburghSteelers,9/7/2014,9037806,AFCNorth, $196 , $81 , $166 
2014,CincinnatiBengals,2014CincinnatiBengals,PittsburghSteelers,2014PittsburghSteelers,12/28/2014,9037828,AFCNorth, $164 , $80 , $166 
2014,DenverBroncos,2014DenverBroncos,SanDiegoChargers,2014SanDiegoChargers,12/14/2014,9037791,AFCWest, $202 , $257 , $132 
2014,OaklandRaiders,2014OaklandRaiders,SanDiegoChargers,2014SanDiegoChargers,11/16/2014,9037788,AFCWest, $118 , $77 , $132 
